%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
33.0, 4558.3701171875, 15822.2626953125, 29436.330078125, 8615.2109375, 7215.2099609375, 17871.693359375, 4113.5927734375, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 3.0, 224.0, 254.0, 160.0, 31.0, 32.0, 0.0, 0.0, 0.0, 1.5977656503585525E9, 2020-08-18 08:47:30.358
34.0, 4561.78955078125, 15819.46875, 29425.421875, 8602.203125, 7213.01953125, 17871.806640625, 4114.7099609375, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585577E9, 2020-08-18 08:47:30.358
35.0, 4555.41943359375, 15811.9365234375, 29406.1328125, 8586.802734375, 7201.8212890625, 17859.490234375, 4107.69189453125, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585632E9, 2020-08-18 08:47:30.358
36.0, 4553.18408203125, 15810.013671875, 29413.912109375, 8594.9609375, 7202.603515625, 17858.57421875, 4108.20556640625, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585684E9, 2020-08-18 08:47:30.358
37.0, 4552.84912109375, 15808.046875, 29428.08203125, 8604.169921875, 7203.87744140625, 17860.630859375, 4107.44580078125, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585737E9, 2020-08-18 08:47:30.358
38.0, 4556.64892578125, 15813.9931640625, 29430.4296875, 8608.908203125, 7207.45361328125, 17865.369140625, 4108.07177734375, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585787E9, 2020-08-18 08:47:30.358
39.0, 4557.4755859375, 15810.3046875, 29411.072265625, 8590.9150390625, 7201.08349609375, 17856.00390625, 4103.310546875, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585837E9, 2020-08-18 08:47:30.358
40.0, 4550.79248046875, 15807.4658203125, 29411.1171875, 8582.7119140625, 7199.67529296875, 17852.025390625, 4104.02587890625, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585887E9, 2020-08-18 08:47:30.358
41.0, 4552.7373046875, 15811.5791015625, 29421.734375, 8599.3193359375, 7208.05712890625, 17861.48046875, 4108.138671875, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585937E9, 2020-08-18 08:47:30.358
42.0, 4558.3701171875, 15812.8076171875, 29414.1796875, 8602.9853515625, 7208.07958984375, 17867.068359375, 4111.46923828125, 0.0, 0.12400000542402267, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503585987E9, 2020-08-18 08:47:30.358
43.0, 4558.90625, 15809.4775390625, 29396.54296875, 8586.712890625, 7199.8095703125, 17859.712890625, 4109.1669921875, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 3.0, 240.0, 254.0, 96.0, 31.0, 16.0, 0.0, 0.0, 0.0, 1.5977656503586032E9, 2020-08-18 08:47:30.358
44.0, 4560.0908203125, 15812.9423828125, 29395.8515625, 8587.271484375, 7203.87744140625, 17858.685546875, 4111.69287109375, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358608E9, 2020-08-18 08:47:30.358
45.0, 4555.46435546875, 15810.349609375, 29407.25, 8600.01171875, 7207.92333984375, 17862.6640625, 4110.9326171875, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503586173E9, 2020-08-18 08:47:30.358
46.0, 4557.00634765625, 15811.154296875, 29409.73046875, 8604.0576171875, 7207.87841796875, 17868.162109375, 4111.67041015625, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503586226E9, 2020-08-18 08:47:30.358
47.0, 4558.5712890625, 15808.78515625, 29397.3046875, 8591.541015625, 7201.75439453125, 17862.3515625, 4108.89892578125, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358628E9, 2020-08-18 08:47:30.358
48.0, 4561.78955078125, 15811.7578125, 29411.02734375, 8599.7890625, 7205.0400390625, 17860.96484375, 4113.07861328125, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503586402E9, 2020-08-18 08:47:30.358
49.0, 4575.111328125, 15819.267578125, 29419.56640625, 8606.1142578125, 7216.28271484375, 17872.744140625, 4128.45654296875, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358652E9, 2020-08-18 08:47:30.358
50.0, 4584.78955078125, 15826.8896484375, 29422.0703125, 8605.734375, 7223.25634765625, 17884.501953125, 4141.1298828125, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503586662E9, 2020-08-18 08:47:30.358
51.0, 4566.03662109375, 15813.1435546875, 29407.138671875, 8589.6181640625, 7204.27978515625, 17865.32421875, 4117.302734375, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358678E9, 2020-08-18 08:47:30.358
52.0, 4546.47900390625, 15803.5322265625, 29401.52734375, 8590.177734375, 7195.09326171875, 17850.728515625, 4101.90283203125, 0.0, 0.12600000202655792, -0.052000001072883606, 0.9940000176429749, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358683E9, 2020-08-18 08:47:30.358
53.0, 4550.501953125, 15808.9189453125, 29413.8671875, 8612.88671875, 7207.185546875, 17859.109375, 4109.591796875, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 4.0, 0.0, 254.0, 128.0, 31.0, 32.0, 0.0, 0.0, 0.0, 1.597765650358688E9, 2020-08-18 08:47:30.358
54.0, 4553.81005859375, 15809.7685546875, 29425.35546875, 8619.3017578125, 7207.0517578125, 17863.06640625, 4108.943359375, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358693E9, 2020-08-18 08:47:30.358
55.0, 4548.5576171875, 15806.3037109375, 29414.849609375, 8590.5126953125, 7196.90380859375, 17855.4453125, 4102.908203125, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503586981E9, 2020-08-18 08:47:30.358
56.0, 4537.0908203125, 15795.7763671875, 29395.650390625, 8568.2724609375, 7185.4150390625, 17843.263671875, 4094.302978515625, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503587036E9, 2020-08-18 08:47:30.358
57.0, 4530.9443359375, 15791.484375, 29406.6015625, 8582.779296875, 7186.86767578125, 17840.603515625, 4088.759765625, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503587089E9, 2020-08-18 08:47:30.358
58.0, 4531.27978515625, 15795.2392578125, 29411.85546875, 8599.810546875, 7194.19921875, 17846.66015625, 4089.5419921875, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503587134E9, 2020-08-18 08:47:30.358
59.0, 4526.3623046875, 15791.8193359375, 29403.94140625, 8587.5625, 7186.9794921875, 17840.267578125, 4081.5400390625, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503587215E9, 2020-08-18 08:47:30.358
60.0, 4530.7880859375, 15792.7587890625, 29397.70703125, 8582.33203125, 7182.375, 17833.31640625, 4081.026123046875, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503587277E9, 2020-08-18 08:47:30.358
61.0, 4521.556640625, 15789.2939453125, 29399.046875, 8590.4677734375, 7181.34716796875, 17827.482421875, 4074.67822265625, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503587327E9, 2020-08-18 08:47:30.358
62.0, 4518.85205078125, 15790.970703125, 29406.982421875, 8599.498046875, 7187.046875, 17835.08203125, 4074.409912109375, 0.0, 0.12800000607967377, -0.04800000041723251, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503587377E9, 2020-08-18 08:47:30.358
63.0, 4522.96484375, 15791.685546875, 29405.349609375, 8598.4921875, 7186.35400390625, 17840.357421875, 4080.310791015625, 0.0, 0.12800000607967377, -0.04400000348687172, 0.9960000514984131, 192.0, 4.0, 0.0, 254.0, 160.0, 31.0, 32.0, 0.0, 0.0, 0.0, 1.5977656503587422E9, 2020-08-18 08:47:30.358
64.0, 4524.9541015625, 15788.3330078125, 29399.31640625, 8581.8623046875, 7178.4638671875, 17833.205078125, 4079.595458984375, 0.0, 0.12800000607967377, -0.04400000348687172, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503587472E9, 2020-08-18 08:47:30.358
